"Contacts Form Captcha","Contacts Form Captcha"
"Enable Captcha","Activer le Captcha"
"Public Key","Clé public"
"Private Key","Clé privée"
"reCaptcha Theme","Thème de reCaptcha "
"reCaptcha Language","Langue de reCaptcha"
"You got this from the signup page: https://www.google.com/recaptcha/admin/create","Vous avez eu ceci de cette page: https://www.google.com/recaptcha/admin/create"
"The reCAPTCHA wasn't entered correctly. Go back and try it again.","Le CAPTCHA n'a pas été correctement renseigné. Essayez à nouveau."
"Anti-bot code","Champ anti-robot"
