"Admin Username","Admin Username"
"Clear Logs","Supprimer les logs"
"Customer Email","Email Client"
"Log has been cleared successfully.","Les logs ont été supprimées."
"Log in customer","Se connecter en tant que"
"Login as Customer Logs","Connexions en tant que"
"Login Date","Date Connexion"
"Login Store","Store Connexion"
"Save Login Logs","Enregistrer les connexions"
"View Customer","Voir Client"
